passenger_id,total_time_minibus,total_time_bus,status,time_difference
P3819,648.6240592994873,937.8240562477296,ARRIVED,-289.1999969482423
P3841,324.29798624812247,674.4979831963647,ARRIVED,-350.1999969482422
P3855,866.8351512392874,746.0351481875296,ARRIVED,120.80000305175781
P3963,646.3287162704291,1154.3287162704291,ARRIVED,-508.0
P3972,1824.9769891643448,980.7769769573132,ARRIVED,844.2000122070316
P4025,2297.766832141464,671.5668199344327,ARRIVED,1626.2000122070312
P4028,566.1317571711406,656.3317693781719,ARRIVED,-90.20001220703125
P4140,584.3212574259596,449.12126047771744,ARRIVED,135.1999969482422
P4142,735.6050406480645,473.2050467515801,ARRIVED,262.3999938964844
P525,717.6849716310921,1230.8849838381234,ARRIVED,-513.2000122070312
P534,843.1461851325685,1073.746160718506,ARRIVED,-230.5999755859375
P54,551.635600206963,2400.0,ABANDONED,-1848.3643997930371
P553,530.9213789875785,514.7213667805472,ARRIVED,16.20001220703125
P61,2239.0601742470026,2400.0,ABANDONED,-160.93982575299742
P612,1068.4219505857182,493.4219795505901,ARRIVED,574.999971035128
P614,1012.1090522896412,728.1090848347908,ARRIVED,283.99996745485043
P708,816.3381683612542,2400.0,ABANDONED,-1583.6618316387458
P741,939.6529872887404,2400.0,ABANDONED,-1460.3470127112596
P783,1214.6666500140363,737.6666614581281,ARRIVED,476.9999885559082
P845,806.8455291007658,804.6455168937346,ARRIVED,2.20001220703125
P892,751.2839563041043,978.283967748196,ARRIVED,-227.00001144409168
P895,814.9364540538672,1039.1364662608985,ARRIVED,-224.20001220703125
P958,557.7935610455597,501.5935640973176,ARRIVED,56.19999694824213
