departure_time,origin_station_id,origin_name,origin_lat,origin_lon,dest_station_id,dest_name,dest_lat,dest_lon,distance_meters,duration_seconds,duration_minutes,duration_in_traffic_seconds,duration_in_traffic_minutes,status
2026-02-12 15:00:00,8589161,"Fribourg, St-Pierre",46.803911,7.155266,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,530,94,1.57,98,1.63,OK
2026-02-12 15:00:00,8589161,"Fribourg, St-Pierre",46.803911,7.155266,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,384,134,2.23,141,2.35,OK
2026-02-12 15:00:00,8589161,"Fribourg, St-Pierre",46.803911,7.155266,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,4086,660,11.0,684,11.4,OK
2026-02-12 15:00:00,8589161,"Fribourg, St-Pierre",46.803911,7.155266,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,3100,551,9.18,561,9.35,OK
2026-02-12 15:00:00,8589161,"Fribourg, St-Pierre",46.803911,7.155266,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,2984,574,9.57,578,9.63,OK
2026-02-12 15:00:00,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,8589141,"Fribourg, Chaley",46.806281,7.175601,4673,664,11.07,702,11.7,OK
2026-02-12 15:00:00,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,4390,623,10.38,661,11.02,OK
2026-02-12 15:00:00,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,4001,571,9.52,606,10.1,OK
2026-02-12 15:00:00,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,8591766,"Fribourg, Boschung",46.811451,7.171016,3681,526,8.77,549,9.15,OK
2026-02-12 15:00:00,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,906,206,3.43,214,3.57,OK
2026-02-12 15:00:00,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,8589161,"Fribourg, St-Pierre",46.803911,7.155266,376,111,1.85,132,2.2,OK
2026-02-12 15:00:00,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,4261,691,11.52,692,11.53,OK
2026-02-12 15:00:00,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,3132,570,9.5,583,9.72,OK
2026-02-12 15:00:00,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,3016,593,9.88,591,9.85,OK
2026-02-12 15:00:00,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,8589141,"Fribourg, Chaley",46.806281,7.175601,8990,749,12.48,804,13.4,OK
2026-02-12 15:00:00,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8707,708,11.8,764,12.73,OK
2026-02-12 15:00:00,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,8318,656,10.93,711,11.85,OK
2026-02-12 15:00:00,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,8591766,"Fribourg, Boschung",46.811451,7.171016,7998,611,10.18,656,10.93,OK
2026-02-12 15:00:00,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,4551,727,12.12,762,12.7,OK
2026-02-12 15:00:00,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,8589161,"Fribourg, St-Pierre",46.803911,7.155266,4021,633,10.55,666,11.1,OK
2026-02-12 15:00:00,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,3996,652,10.87,682,11.37,OK
2026-02-12 15:00:00,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,1545,214,3.57,227,3.78,OK
2026-02-12 15:00:00,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,2669,333,5.55,326,5.43,OK
2026-02-12 15:00:00,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,8589141,"Fribourg, Chaley",46.806281,7.175601,8330,698,11.63,726,12.1,OK
2026-02-12 15:00:00,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8047,657,10.95,692,11.53,OK
2026-02-12 15:00:00,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,7658,605,10.08,637,10.62,OK
2026-02-12 15:00:00,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,8591766,"Fribourg, Boschung",46.811451,7.171016,7338,560,9.33,588,9.8,OK
2026-02-12 15:00:00,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,3891,676,11.27,678,11.3,OK
2026-02-12 15:00:00,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,8589161,"Fribourg, St-Pierre",46.803911,7.155266,3361,581,9.68,586,9.77,OK
2026-02-12 15:00:00,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,3336,600,10.0,602,10.03,OK
2026-02-12 15:00:00,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,1335,194,3.23,190,3.17,OK
2026-02-12 15:00:00,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,1448,262,4.37,257,4.28,OK
2026-02-12 15:00:00,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,8589141,"Fribourg, Chaley",46.806281,7.175601,8355,730,12.17,736,12.27,OK
2026-02-12 15:00:00,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8072,689,11.48,700,11.67,OK
2026-02-12 15:00:00,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,7683,637,10.62,650,10.83,OK
2026-02-12 15:00:00,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,8591766,"Fribourg, Boschung",46.811451,7.171016,7364,592,9.87,599,9.98,OK
2026-02-12 15:00:00,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,3917,708,11.8,675,11.25,OK
2026-02-12 15:00:00,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,8589161,"Fribourg, St-Pierre",46.803911,7.155266,3387,614,10.23,593,9.88,OK
2026-02-12 15:00:00,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,8592374,"Fribourg/Freiburg, Pl. Gare",46.802898,7.15141,3361,633,10.55,611,10.18,OK
2026-02-12 15:00:00,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,8589130,"Villars-sur-Glâne, Méridienne",46.794173,7.111828,1819,287,4.78,264,4.4,OK
2026-02-12 15:00:00,8588344,"Villars-sur-Glâne, Belle-Croix",46.800233,7.125455,8589131,"Villars-sur-Glâne, Moncor",46.79857,7.120788,834,179,2.98,151,2.52,OK
2026-02-12 15:00:00,8589141,"Fribourg, Chaley",46.806281,7.175601,8577786,"Villars-sur-Glâne,Villars-Vert",46.798991,7.131395,8144,670,11.17,729,12.15,OK
2026-02-12 15:00:00,8589141,"Fribourg, Chaley",46.806281,7.175601,8577785,"Fribourg, Bertigny",46.8013,7.138046,8974,780,13.0,822,13.7,OK
2026-02-12 15:00:00,8589141,"Fribourg, Chaley",46.806281,7.175601,8504622,"Fribourg, Bellevue",46.81092671540513,7.171932726075358,863,113,1.88,151,2.52,OK
2026-02-12 15:00:00,8589141,"Fribourg, Chaley",46.806281,7.175601,8589271,"Fribourg, Schönberg Dunant",46.80542535842347,7.178406780411913,447,90,1.5,89,1.48,OK
2026-02-12 15:00:00,8589141,"Fribourg, Chaley",46.806281,7.175601,8592375,"Fribourg, Guintzet",46.80549,7.140123,5655,773,12.88,808,13.47,OK
2026-02-12 15:00:00,8589141,"Fribourg, Chaley",46.806281,7.175601,8592378,"Villars-sur-Glâne,Jean Paul II",46.803893,7.137545,5883,862,14.37,842,14.03,OK
2026-02-12 15:00:00,8589141,"Fribourg, Chaley",46.806281,7.175601,8592377,"Villars-sur-Glâne, Hôp. cant.",46.801851,7.13667,9203,814,13.57,847,14.12,OK
2026-02-12 15:00:00,8589141,"Fribourg, Chaley",46.806281,7.175601,8591767,"Fribourg, Route-de-Tavel",46.811223,7.172643,947,128,2.13,165,2.75,OK
2026-02-12 15:00:00,8589141,"Fribourg, Chaley",46.806281,7.175601,8589270,"Fribourg, Kessler",46.812081,7.173246,1022,203,3.38,185,3.08,OK
2026-02-12 15:00:00,8589141,"Fribourg, Chaley",46.806281,7.175601,8589147,"Fribourg, Ploetscha",46.813063,7.173218,1131,216,3.6,197,3.28,OK
2026-02-12 15:00:00,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8577786,"Villars-sur-Glâne,Villars-Vert",46.798991,7.131395,7874,635,10.58,688,11.47,OK
2026-02-12 15:00:00,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8577785,"Fribourg, Bertigny",46.8013,7.138046,8704,745,12.42,780,13.0,OK
2026-02-12 15:00:00,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8504622,"Fribourg, Bellevue",46.81092671540513,7.171932726075358,593,78,1.3,109,1.82,OK
2026-02-12 15:00:00,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8589271,"Fribourg, Schönberg Dunant",46.80542535842347,7.178406780411913,661,114,1.9,118,1.97,OK
2026-02-12 15:00:00,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8592375,"Fribourg, Guintzet",46.80549,7.140123,5385,738,12.3,769,12.82,OK
2026-02-12 15:00:00,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8592378,"Villars-sur-Glâne,Jean Paul II",46.803893,7.137545,5613,827,13.78,794,13.23,OK
2026-02-12 15:00:00,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8592377,"Villars-sur-Glâne, Hôp. cant.",46.801851,7.13667,8933,779,12.98,806,13.43,OK
2026-02-12 15:00:00,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8591767,"Fribourg, Route-de-Tavel",46.811223,7.172643,677,93,1.55,132,2.2,OK
2026-02-12 15:00:00,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8589270,"Fribourg, Kessler",46.812081,7.173246,783,113,1.88,147,2.45,OK
2026-02-12 15:00:00,8589152,"Fribourg, Mon-Repos",46.806711,7.172136,8589147,"Fribourg, Ploetscha",46.813063,7.173218,892,127,2.12,159,2.65,OK
2026-02-12 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,8577786,"Villars-sur-Glâne,Villars-Vert",46.798991,7.131395,7485,584,9.73,624,10.4,OK
2026-02-12 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,8577785,"Fribourg, Bertigny",46.8013,7.138046,8315,694,11.57,722,12.03,OK
2026-02-12 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,8504622,"Fribourg, Bellevue",46.81092671540513,7.171932726075358,204,28,0.47,36,0.6,OK
2026-02-12 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,8589271,"Fribourg, Schönberg Dunant",46.80542535842347,7.178406780411913,1050,166,2.77,173,2.88,OK
2026-02-12 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,8592375,"Fribourg, Guintzet",46.80549,7.140123,4996,687,11.45,713,11.88,OK
2026-02-12 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,8592378,"Villars-sur-Glâne,Jean Paul II",46.803893,7.137545,5224,776,12.93,748,12.47,OK
2026-02-12 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,8592377,"Villars-sur-Glâne, Hôp. cant.",46.801851,7.13667,8544,729,12.15,746,12.43,OK
2026-02-12 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,8591767,"Fribourg, Route-de-Tavel",46.811223,7.172643,288,42,0.7,53,0.88,OK
2026-02-12 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,8589270,"Fribourg, Kessler",46.812081,7.173246,394,62,1.03,77,1.28,OK
2026-02-12 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809385,7.170446,8589147,"Fribourg, Ploetscha",46.813063,7.173218,503,76,1.27,92,1.53,OK
2026-02-12 15:00:00,8591766,"Fribourg, Boschung",46.811451,7.171016,8577786,"Villars-sur-Glâne,Villars-Vert",46.798991,7.131395,7128,532,8.87,568,9.47,OK
2026-02-12 15:00:00,8591766,"Fribourg, Boschung",46.811451,7.171016,8577785,"Fribourg, Bertigny",46.8013,7.138046,7958,642,10.7,667,11.12,OK
