bus_id,decision_interval,step_sequence,logical_node,action,horizon_status,location,arrival_time,pax_exchange,passenger_load
7,50,0,45,Start,Executed,8589158,0.0,0,0
7,50,1,17,Pickup,Executed,8589158,40.0,4,0
7,50,2,36,Dropoff,Executed,8589155,54.85,-4,4
7,50,3,67,End,Planned,0,55.0,0,0
7,60,0,51,Start,Executed,8589155,0.0,0,6
7,60,1,73,End,Planned,0,0.0,0,6
8,0,0,32,Start,Executed,8589138,0.0,0,0
8,0,1,54,End,Planned,0,308.0,0,0
8,10,0,46,Start,Executed,8589138,0.0,0,0
8,10,1,68,End,Planned,0,705.0,0,0
8,20,0,48,Start,Executed,8589138,0.0,0,0
8,20,1,70,End,Planned,0,703.0,0,0
8,30,0,42,Start,Executed,8589138,0.0,0,0
8,30,1,64,End,Planned,0,382.0,0,0
8,40,0,44,Start,Executed,8589138,0.0,0,0
8,40,1,66,End,Planned,0,308.0,0,0
8,50,0,46,Start,Executed,8589138,0.0,0,0
8,50,1,4,Pickup,Executed,8589138,21.0,2,0
8,50,2,23,Dropoff,Executed,8589152,51.94,-2,2
8,50,3,68,End,Planned,0,52.0,0,0
8,60,0,52,Start,Executed,8589152,0.0,0,0
8,60,1,74,End,Planned,0,315.0,0,0
9,0,0,33,Start,Executed,8589271,0.0,0,6
9,0,1,55,End,Planned,0,296.0,0,6
9,10,0,47,Start,Executed,8589271,0.0,0,0
9,10,1,69,End,Planned,0,697.0,0,0
9,20,0,49,Start,Executed,8589271,0.0,0,0
9,20,1,71,End,Planned,0,699.0,0,0
9,30,0,43,Start,Executed,8589271,0.0,0,0
9,30,1,65,End,Planned,0,383.0,0,0
9,40,0,45,Start,Executed,8589271,0.0,0,0
9,40,1,67,End,Planned,0,732.0,0,0
9,50,0,47,Start,Executed,8589271,0.0,0,0
9,50,1,69,End,Planned,0,775.0,0,0
9,60,0,53,Start,Executed,8589271,0.0,0,0
9,60,1,0,Pickup,Executed,8589271,38.0,2,0
9,60,2,9,Pickup,Executed,8589271,68.04,3,2
9,60,3,31,Dropoff,Planned,8577786,84.17,-3,5
9,60,4,22,Dropoff,Planned,8592377,87.05,-2,2
9,60,5,75,End,Planned,0,88.0,0,0
10,0,0,34,Start,Executed,8589147,0.0,0,0
10,0,1,56,End,Planned,0,701.0,0,0
10,10,0,48,Start,Executed,8589147,0.0,0,0
10,10,1,70,End,Planned,0,503.0,0,0
10,20,0,50,Start,Executed,8589147,0.0,0,0
10,20,1,72,End,Planned,0,700.0,0,0
10,30,0,44,Start,Executed,8589147,0.0,0,0
10,30,1,66,End,Planned,0,382.0,0,0
10,40,0,46,Start,Executed,8589147,0.0,0,0
10,40,1,8,Pickup,Planned,8589147,55.2,6,0
10,40,2,26,Dropoff,Planned,8592377,67.72,-6,6
10,40,3,68,End,Planned,0,68.0,0,0
10,50,0,48,Start,Executed,8589147,0.0,0,0
10,50,1,14,Pickup,Executed,8589147,49.0,6,0
10,50,2,33,Dropoff,Planned,8592377,61.48,-6,6
10,50,3,70,End,Planned,0,62.0,0,0
10,60,0,54,Start,Executed,8589147,0.0,0,0
10,60,1,20,Pickup,Executed,8589147,49.0,6,0
10,60,2,42,Dropoff,Executed,8592377,61.93,-6,6
10,60,3,76,End,Planned,0,62.0,0,0
11,0,0,35,Start,Executed,8589158,0.0,0,0
11,0,1,57,End,Planned,0,690.0,0,0
11,10,0,49,Start,Executed,8589158,0.0,0,0
11,10,1,1,Pickup,Executed,8589158,0.0,2,0
11,10,2,20,Dropoff,Executed,8589138,17.39,-2,2
11,10,3,71,End,Planned,0,18.0,0,0
11,20,0,51,Start,Executed,8589138,0.0,0,0
11,20,1,73,End,Planned,0,700.0,0,0
11,30,0,45,Start,Executed,8589138,0.0,0,0
11,30,1,67,End,Planned,0,346.0,0,0
11,40,0,47,Start,Executed,8589138,0.0,0,0
11,40,1,6,Pickup,Executed,8589141,14.0,7,0
11,40,2,24,Dropoff,Planned,8577820,53.06,-7,7
11,40,3,7,Pickup,Planned,8577820,56.57,4,0
11,40,4,25,Dropoff,Planned,8588858,63.04,-4,4
11,40,5,69,End,Planned,0,64.0,0,0
11,50,0,49,Start,Executed,8589141,0.0,0,0
11,50,1,12,Pickup,Executed,8589141,44.0,7,0
11,50,2,31,Dropoff,Executed,8577820,53.02,-7,7
11,50,3,13,Pickup,Executed,8577820,56.27,4,0
11,50,4,32,Dropoff,Planned,8588858,62.7,-4,4
11,50,5,71,End,Planned,0,63.0,0,0
11,60,0,55,Start,Executed,8577820,0.0,0,0
11,60,1,19,Pickup,Executed,8577820,48.0,4,0
11,60,2,41,Dropoff,Executed,8588858,54.82,-4,4
11,60,3,77,End,Planned,0,55.0,0,0
12,0,0,36,Start,Executed,8588351,0.0,0,8
12,0,1,58,End,Planned,0,0.0,0,8
12,10,0,50,Start,Executed,8588351,0.0,0,0
12,10,1,72,End,Planned,0,495.0,0,0
12,20,0,52,Start,Executed,8588351,0.0,0,0
12,20,1,74,End,Planned,0,314.0,0,0
12,30,0,46,Start,Executed,8588351,0.0,0,0
12,30,1,68,End,Planned,0,278.0,0,0
12,40,0,48,Start,Executed,8588351,0.0,0,0
12,40,1,70,End,Planned,0,374.0,0,0
12,50,0,50,Start,Executed,8588351,0.0,0,0
12,50,1,72,End,Planned,0,775.0,0,0
12,60,0,56,Start,Executed,8588351,0.0,0,0
12,60,1,78,End,Planned,0,305.0,0,0
13,0,0,37,Start,Executed,8591766,0.0,0,0
13,0,1,59,End,Planned,0,690.0,0,0
13,10,0,51,Start,Executed,8591766,0.0,0,0
13,10,1,73,End,Planned,0,699.0,0,0
13,20,0,53,Start,Executed,8591766,0.0,0,0
13,20,1,75,End,Planned,0,721.0,0,0
13,30,0,47,Start,Executed,8591766,0.0,0,0
13,30,1,2,Pickup,Planned,8504622,47.07,2,0
13,30,2,19,Dropoff,Planned,8589147,48.04,-2,2
13,30,3,69,End,Planned,0,49.0,0,0
13,40,0,49,Start,Executed,8591766,0.0,0,0
13,40,1,13,Pickup,Executed,8504622,33.0,2,0
13,40,2,31,Dropoff,Executed,8589147,33.95,-2,2
13,40,3,71,End,Planned,0,40.0,0,0
13,50,0,51,Start,Executed,8589147,0.0,0,0
13,50,1,73,End,Planned,0,775.0,0,0
13,60,0,57,Start,Executed,8589147,0.0,0,0
13,60,1,6,Pickup,Executed,8504622,30.0,1,0
13,60,2,28,Dropoff,Executed,8589141,62.36,-1,1
13,60,3,79,End,Planned,0,63.0,0,0
14,0,0,38,Start,Executed,8588344,0.0,0,0
14,0,1,8,Pickup,Executed,8588344,0.0,3,0
14,0,2,20,Dropoff,Planned,8589158,21.64,-3,3
14,0,3,60,End,Planned,0,22.0,0,0
14,10,0,52,Start,Executed,8588344,0.0,0,0
14,10,1,16,Pickup,Executed,8588344,10.0,3,0
14,10,2,35,Dropoff,Planned,8589158,21.6,-3,3
14,10,3,74,End,Planned,0,22.0,0,0
14,20,0,54,Start,Executed,8588344,0.0,0,0
14,20,1,18,Pickup,Executed,8588344,10.13,3,0
14,20,2,3,Pickup,Executed,8587356,21.51,2,3
14,20,3,38,Dropoff,Executed,8589158,25.12,-3,5
14,20,4,9,Pickup,Executed,8504622,26.83,1,2
14,20,5,23,Dropoff,Planned,8588344,37.32,-2,3
14,20,6,29,Dropoff,Planned,8589131,40.35,-1,1
14,20,7,76,End,Planned,0,41.0,0,0
14,30,0,48,Start,Executed,8504622,0.0,0,0
14,30,1,10,Pickup,Executed,8504622,22.23,2,0
14,30,2,15,Pickup,Executed,8504622,25.0,1,2
14,30,3,27,Dropoff,Executed,8588344,36.67,-2,3
14,30,4,32,Dropoff,Executed,8589131,39.23,-1,1
14,30,5,70,End,Planned,0,40.0,0,0
14,40,0,50,Start,Executed,8589131,0.0,0,0
14,40,1,4,Pickup,Executed,8588344,17.0,6,0
14,40,2,22,Dropoff,Planned,8589154,57.62,-6,6
14,40,3,72,End,Planned,0,58.0,0,0
14,50,0,52,Start,Executed,8588344,0.0,0,0
14,50,1,10,Pickup,Executed,8588344,47.0,6,0
14,50,2,29,Dropoff,Executed,8589154,57.58,-6,6
14,50,3,74,End,Planned,0,58.0,0,0
14,60,0,58,Start,Executed,8589154,0.0,0,0
14,60,1,80,End,Planned,0,0.0,0,0
15,0,0,39,Start,Executed,8587238,0.0,0,0
15,0,1,1,Pickup,Executed,8587238,9.43,3,0
15,0,2,13,Dropoff,Planned,8592377,18.04,-3,3
15,0,3,61,End,Planned,0,19.0,0,0
15,10,0,53,Start,Executed,8587238,0.0,0,0
