bus_id,simulation_time,stop_sequence,logical_node,physical_location,arrival_time
2,30,2,20,8589161,30
2,30,3,43,8592374,30
2,30,4,36,8589154,30
2,30,5,2,8588858,30
2,30,6,25,8591767,30
2,40,0,56,8592374,40
2,40,1,22,8592374,40
2,40,2,16,8588858,40
2,40,3,49,8589154,40
2,40,4,43,8591767,40
2,50,0,42,8589154,50
2,50,1,14,8589154,50
2,50,2,5,8589161,50
2,50,3,25,8587255,50
2,50,4,34,8591767,50
3,0,0,23,8589155,0
3,0,1,9,8592375,0
3,0,2,6,8592378,0
3,0,3,16,8504622,0
3,0,4,19,8589138,0
3,10,0,47,8592375,10
3,10,1,21,8592375,10
3,10,2,19,8592378,10
3,10,3,10,8577786,10
3,10,4,13,8587356,10
3,10,5,32,8504622,10
3,10,6,41,8504622,10
3,10,7,35,8589138,10
3,10,8,43,8589138,10
3,20,0,39,8577786,20
3,20,1,17,8577786,20
3,20,2,16,8577786,20
3,20,3,12,8577786,20
3,20,4,13,8587356,20
3,20,5,31,8589138,20
3,20,6,35,8589138,20
3,20,7,34,8504622,20
3,20,8,30,8504622,20
3,30,0,49,8587356,30
3,30,1,21,8587356,30
3,30,2,22,8587356,30
3,30,3,18,8587356,30
3,30,4,44,8504622,30
3,30,5,41,8504622,30
3,30,6,45,8589138,30
3,30,7,19,8587356,30
3,30,8,42,8589138,30
3,40,0,57,8589138,40
3,40,1,26,8587356,40
3,40,2,53,8589138,40
3,40,3,6,8587356,40
3,40,4,12,8504622,40
3,40,5,10,8577820,40
3,40,6,37,8587238,40
3,40,7,33,8587238,40
3,40,8,39,8592375,40
3,50,0,43,8504622,50
3,50,1,12,8504622,50
3,50,2,3,8504622,50
3,50,3,9,8504622,50
3,50,4,11,8577820,50
3,50,5,31,8587238,50
3,50,6,29,8587238,50
3,50,7,23,8588351,50
3,50,8,32,8592375,50
4,0,0,24,8587255,0
4,0,1,2,8592375,0
4,0,2,12,8587238,0
4,10,0,48,8587255,10
4,10,1,16,8592375,10
4,10,2,38,8587238,10
4,10,3,8,8587238,10
4,10,4,30,8592374,10
4,20,0,40,8587238,20
4,20,1,11,8587238,20
4,20,2,4,8592374,20
4,20,3,29,8592374,20
4,20,4,22,8592377,20
4,30,0,50,8592374,30
4,30,1,17,8592374,30
4,30,2,40,8592374,30
4,30,3,12,8592374,30
4,30,4,35,8592377,30
4,40,0,58,8592374,40
4,40,1,21,8592374,40
4,40,2,48,8592377,40
4,40,3,9,8588344,40
4,40,4,36,8577786,40
4,50,0,44,8592377,50
4,50,1,10,8588344,50
4,50,2,30,8577786,50
4,50,3,6,8592377,50
4,50,4,0,8592377,50
4,50,5,20,8577741,50
4,50,6,26,8589154,50
