passenger_id,origin,destination,appear_time,board_time,arrival_time,status,wait_time,travel_time,total_time,assigned_vehicle,vehicle_type
P3564,8589161,8589158,15176.272981616972,15943.0,16405.0,ARRIVED,766.7270183830278,462.0,1228.7270183830278,,Bus
P3565,8589161,8589158,15180.749600394616,15943.0,16405.0,ARRIVED,762.2503996053838,462.0,1224.2503996053838,,Bus
P3566,8589161,8589158,15385.474808918892,15943.0,16405.0,ARRIVED,557.5251910811076,462.0,1019.5251910811076,,Bus
P3567,8589161,8589158,15492.336672232417,15943.0,16405.0,ARRIVED,450.6633277675828,462.0,912.6633277675828,,Bus
P3568,8589161,8589158,15555.294839951855,15943.0,16405.0,ARRIVED,387.70516004814453,462.0,849.7051600481445,,Bus
P3569,8592374,8589141,15159.207480687686,15678.0,16425.0,ARRIVED,518.7925193123137,747.0,1265.7925193123137,,Bus
P3570,8592374,8589141,15239.941379743417,15678.0,16425.0,ARRIVED,438.0586202565828,747.0,1185.0586202565828,,Bus
P3571,8592374,8589141,15269.646708319046,15678.0,16425.0,ARRIVED,408.3532916809545,747.0,1155.3532916809545,,Bus
P3572,8592374,8589141,15444.893684217852,15678.0,16425.0,ARRIVED,233.10631578214816,747.0,980.1063157821482,,Bus
P3573,8592374,8589141,15569.779998658048,15678.0,16425.0,ARRIVED,108.2200013419515,747.0,855.2200013419515,,Bus
P3574,8592374,8589152,15024.993836098527,15678.0,16372.0,ARRIVED,653.006163901473,694.0,1347.006163901473,,Bus
P3575,8592374,8589152,15333.038344387087,15678.0,16372.0,ARRIVED,344.9616556129131,694.0,1038.961655612913,,Bus
P3576,8592374,8589152,15556.913693594162,15678.0,16372.0,ARRIVED,121.0863064058376,694.0,815.0863064058376,,Bus
P3577,8592374,8589152,15581.349692003847,15678.0,16372.0,ARRIVED,96.65030799615306,694.0,790.6503079961531,,Bus
P3578,8592374,8589138,15174.775600585166,15678.0,16283.0,ARRIVED,503.2243994148339,605.0,1108.224399414834,,Bus
P3579,8592374,8587255,15030.53966214938,15678.0,15937.0,ARRIVED,647.4603378506199,259.0,906.4603378506199,,Bus
P3580,8592374,8587255,15236.450244884707,15678.0,15937.0,ARRIVED,441.549755115293,259.0,700.549755115293,,Bus
P3581,8592374,8587255,15332.697151514869,15678.0,15937.0,ARRIVED,345.3028484851311,259.0,604.3028484851311,,Bus
P3582,8592374,8589130,15080.08801951662,15529.0,16301.0,ARRIVED,448.91198048338083,772.0,1220.9119804833808,,Bus
P3583,8592374,8588344,15063.0471725135,15529.0,16034.0,ARRIVED,465.9528274865006,505.0,970.9528274865006,,Bus
P3584,8592374,8588344,15388.50826751171,15529.0,16034.0,ARRIVED,140.49173248828993,505.0,645.4917324882899,,Bus
P3585,8592374,8577786,15043.685859090287,15529.0,15944.0,ARRIVED,485.3141409097134,415.0,900.3141409097134,,Bus
P3586,8592374,8577786,15129.797849720813,15529.0,15944.0,ARRIVED,399.20215027918675,415.0,814.2021502791868,,Bus
P3587,8592374,8577786,15239.949716795994,15529.0,15944.0,ARRIVED,289.0502832040056,415.0,704.0502832040056,,Bus
P3588,8592374,8577786,15292.368686980402,15529.0,15944.0,ARRIVED,236.63131301959766,415.0,651.6313130195977,,Bus
P3589,8592374,8577786,15294.676068985385,15529.0,15944.0,ARRIVED,234.32393101461457,415.0,649.3239310146146,,Bus
P3590,8592374,8577786,15331.970129592937,15529.0,15944.0,ARRIVED,197.02987040706284,415.0,612.0298704070628,,Bus
P3591,8592374,8577786,15381.64980094006,15529.0,15944.0,ARRIVED,147.35019905993977,415.0,562.3501990599398,,Bus
P3592,8592374,8577786,15469.589893258313,15529.0,15944.0,ARRIVED,59.41010674168683,415.0,474.41010674168683,,Bus
P3593,8592374,8577786,15497.738705517117,15529.0,15944.0,ARRIVED,31.261294482883386,415.0,446.2612944828834,,Bus
P3594,8592374,8577785,15244.095744605791,16206.0,16585.0,ARRIVED,961.904255394209,379.0,1340.904255394209,,Bus
P3595,8592374,8577785,15261.905812379968,16206.0,16585.0,ARRIVED,944.0941876200322,379.0,1323.0941876200322,,Bus
P3596,8592374,8577785,15471.923073481066,16206.0,16585.0,ARRIVED,734.0769265189338,379.0,1113.0769265189338,,Bus
P3597,8592374,8504622,15375.43257553116,15678.0,16224.0,ARRIVED,302.5674244688398,546.0,848.5674244688398,,Bus
P3598,8592374,8504622,15375.795628715845,15678.0,16224.0,ARRIVED,302.20437128415506,546.0,848.2043712841551,,Bus
P3599,8592374,8504622,15409.987122343686,15678.0,16224.0,ARRIVED,268.01287765631423,546.0,814.0128776563142,,Bus
P3600,8592374,8589271,15403.532828940928,15678.0,16488.0,ARRIVED,274.4671710590719,810.0,1084.467171059072,,Bus
P3601,8592374,8589271,15594.79216298136,15678.0,16488.0,ARRIVED,83.20783701863911,810.0,893.2078370186391,,Bus
P3602,8592374,8592375,15028.782489855437,15196.0,15846.0,ARRIVED,167.21751014456277,650.0,817.2175101445628,,Bus
