time,event_type,description
6075.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
6135.527820841899,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
6187.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62573.0 completed route, served 36 passengers"
6240.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
6317.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
6357.72945833118,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
6470.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62581.0 completed route, served 29 passengers"
6613.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68093.0 completed route, served 6 passengers"
6620.665097207739,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
6628.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62566.0 completed route, served 39 passengers"
6628.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
6704.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68094.0 completed route, served 0 passengers"
6716.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66369.0 completed route, served 20 passengers"
6819.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66366.0 completed route, served 16 passengers"
6855.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
6917.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
6943.598412675193,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
7072.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62587.0 completed route, served 40 passengers"
7118.2655466831975,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
7211.479228046786,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
7323.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62595.0 completed route, served 27 passengers"
7348.341548184505,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
7449.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62574.0 completed route, served 30 passengers"
7506.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68096.0 completed route, served 11 passengers"
7531.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66377.0 completed route, served 37 passengers"
7638.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68095.0 completed route, served 12 passengers"
7907.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66374.0 completed route, served 20 passengers"
7974.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62578.0 completed route, served 31 passengers"
8275.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68098.0 completed route, served 8 passengers"
8335.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62607.0 completed route, served 93 passengers"
8449.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66385.0 completed route, served 15 passengers"
8558.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62586.0 completed route, served 6 passengers"
8610.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
8647.757285426405,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
8683.750707813939,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
8696.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
8728.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68097.0 completed route, served 14 passengers"
8777.707344053166,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
8818.960390506158,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
8826.989780946136,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
8891.099190670451,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
8893.943866094645,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
8919.797110721323,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
8944.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62592.0 completed route, served 36 passengers"
9290.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62600.0 completed route, served 38 passengers"
9294.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68100.0 completed route, served 12 passengers"
9310.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62621.0 completed route, served 97 passengers"
9530.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66393.0 completed route, served 34 passengers"
9553.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68099.0 completed route, served 11 passengers"
9581.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62625.0 completed route, served 48 passengers"
9641.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66390.0 completed route, served 47 passengers"
10028.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68102.0 completed route, served 15 passengers"
10206.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62612.0 completed route, served 59 passengers"
10269.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62633.0 completed route, served 59 passengers"
10288.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66401.0 completed route, served 34 passengers"
10307.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68101.0 completed route, served 11 passengers"
10511.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62639.0 completed route, served 21 passengers"
10626.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66398.0 completed route, served 35 passengers"
10726.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62626.0 completed route, served 32 passengers"
10930.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62653.0 completed route, served 40 passengers"
11039.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68104.0 completed route, served 15 passengers"
11129.073367492643,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
11165.256009735322,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
11268.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68103.0 completed route, served 17 passengers"
11285.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66409.0 completed route, served 26 passengers"
11378.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62630.0 completed route, served 51 passengers"
11421.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66406.0 completed route, served 32 passengers"
11581.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62657.0 completed route, served 44 passengers"
11589.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
11697.981634128922,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
11724.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
11754.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
11776.167452700965,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
